id,site_id,title,price,sold_quantity,thumbnail,create_date
MLA2024339058,MLA,Microondas Atma Easy Cook Md1720n 700w Blanco 20l 220v,188197.0,10,http://http2.mlstatic.com/D_797289-MLA40172152547_122019-I.jpg,2025-03-05 22:45:20
MLA1961742574,MLA,Microondas Whirlpool Wms20bs 20lts Plata,209999.0,10,http://http2.mlstatic.com/D_797352-MLA80713268977_112024-I.jpg,2025-03-05 22:45:20
MLA1428073295,MLA,Microondas Digital Con Grill Atma Matdgb23cnpi 23 L 900w,219399.0,10,http://http2.mlstatic.com/D_912066-MLU74423190453_022024-I.jpg,2025-03-05 22:45:20
MLA1962641638,MLA,Microondas Samsung Conveccion Air Fry 32l Black,654499.15,10,http://http2.mlstatic.com/D_917610-MLA80585844380_112024-I.jpg,2025-03-05 22:45:20
MLA1683133304,MLA,Microondas Samsung Bespoke Grill Fry Ceramico 30 L Gris,572899.15,10,http://http2.mlstatic.com/D_877064-MLU75779151036_042024-I.jpg,2025-03-05 22:45:20
MLA1755874500,MLA,Cocina Microondas Bgh 20l Mecanico Blanco,220149.15,10,http://http2.mlstatic.com/D_603085-MLU75981826619_042024-I.jpg,2025-03-05 22:45:20
MLA2020256050,MLA,Microondas Vitta Mecanico 23l Vit-mw2xlx002 700w Blanco,126553.5,10,http://http2.mlstatic.com/D_904626-MLA82397676062_022025-I.jpg,2025-03-05 22:45:20
MLA2016252422,MLA,Microondas Digital Philco Mphdw23uap 900 W 23l Blanco,194399.0,10,http://http2.mlstatic.com/D_680686-MLA81277351843_122024-I.jpg,2025-03-05 22:45:20
MLA1494782960,MLA,Microondas Whirlpool Con Grill Y Convección 25 Litros,489999.0,10,http://http2.mlstatic.com/D_913776-MLU71099245280_082023-I.jpg,2025-03-05 22:45:20
MLA1471771435,MLA,Microondas Ultracomb 20lts Hm8020 Negro,162700.0,10,http://http2.mlstatic.com/D_932389-MLA81962731157_012025-I.jpg,2025-03-05 22:45:20
MLA919565885,MLA,Bgh B223ds20 Microondas + Grill Digital 23l 800w Timer,254999.0,10,http://http2.mlstatic.com/D_646565-MLA45850789431_052021-I.jpg,2025-03-05 22:45:20
MLA1987335220,MLA,Microondas 20 Litros Descongela Rotativo Temporizador Winco,149489.0,10,http://http2.mlstatic.com/D_887832-MLA81329787646_122024-I.jpg,2025-03-05 22:45:20
MLA823396188,MLA,Horno Microondas LG Mh8298dir 42 Lts Inverter Nuevos Touch,441741.0,10,http://http2.mlstatic.com/D_663947-MLA31819609866_082019-I.jpg,2025-03-05 22:45:20
MLA1990674348,MLA,Microondas Whirlpool Wmg30ab Con Grill 30 Litros Blanco,466100.0,10,http://http2.mlstatic.com/D_777328-MLA50484281270_062022-I.jpg,2025-03-05 22:45:20
MLA1465125595,MLA,Microondas Whirpool 20 Litros Wms20bsdna Silver,249999.0,10,http://http2.mlstatic.com/D_999903-MLA80685126718_112024-I.jpg,2025-03-05 22:45:20
MLA1943060832,MLA,Cocina Microondas Glass Cook 28l Tramontina,235999.0,10,http://http2.mlstatic.com/D_686514-MLA80970953077_112024-I.jpg,2025-03-05 22:45:20
MLA1583233786,MLA,Horno Microondas Ariston Empotrable Md 554 Ix 31litros,1429490.0,10,http://http2.mlstatic.com/D_695333-MLA79397737962_092024-I.jpg,2025-03-05 22:45:20
MLA1102673794,MLA,Microondas Bgh Quick Chef B120d   Blanco 20l 220v,209779.0,10,http://http2.mlstatic.com/D_673783-MLU79306697835_092024-I.jpg,2025-03-05 22:45:20
